Pair,Half_Life,1D_Pearson,1D_ADF,Net_PnL
JPPOWER-USHAMART,566.5,0.7891734953060461,0.014621216293362467,5653.88
MSUMI-UCOBANK,490.69,0.8831877700250752,0.047397279766671546,5650.28
FLUOROCHEM-HSCL,582.49,0.6970639247346637,0.10840735679766395,5648.95
CANHLIFE-FORCEMOT,408.77,0.7074473330542482,0.01645470273375972,5647.88
JSWCEMENT-MARICO,605.62,0.6711167702859342,0.0071123413801655,5645.21
INDGN-SUMICHEM,446.21,0.8931807035046201,0.0013249441719525557,5643.74
EIDPARRY-KEC,529.29,0.941028064306695,0.005586236670702706,5628.21
AMBUJACEM-MAPMYINDIA,528.53,0.9141214701076351,0.15017816172509496,5605.37
CCL-TENNIND,447.16,0.7157524654501718,0.11607040658530676,5589.02
HSCL-KPIL,559.52,0.8347491646362427,0.012392794142769566,5575.24
AFCONS-ITI,543.6,0.8562888205884278,0.022600599200712144,5567.57
USHAMART-VBL,481.59,0.7913759075731885,0.08170051828550862,5567.17
AADHARHFC-TITAGARH,403.95,0.6617914195076074,0.0003287002542014179,5536.48
ATUL-TORNTPHARM,594.2,0.77009207749958,0.1212412124786274,5526.06
DEEPAKNTR-VIJAYA,437.79,0.8368685248987412,0.14475008909962367,5522.21
ATUL-SAILIFE,462.53,0.800231292516677,0.10761243218006311,5519.62
ABLBL-DIXON,429.89,0.8638880001228056,0.04406044348546287,5514.8
CANFINHOME-GAIL,584.96,0.7606293690278398,0.09973611879448502,5505.67
JYOTICNC-PIIND,529.3,0.7766949151059418,0.06175578771239056,5503.25
ABFRL-ITCHOTELS,498.88,0.9084402972932398,0.037718326168345334,5496.85
EIDPARRY-MUTHOOTFIN,580.79,0.7986596723148174,0.0700343878320442,5496.01
BHARTIHEXA-MINDACORP,544.26,0.804798761008827,0.08340173573575033,5484.55
GICRE-HONASA,453.34,0.6992373929359286,0.049682984886881026,5481.81
ATUL-JINDALSAW,607.65,0.8085168971236228,0.053775047807431677,5476.04
NAVINFLUOR-TENNIND,613.14,0.8115459845698888,0.03967684157076279,5475.9
360ONE-RAILTEL,545.59,0.8702182757681355,0.02827725680968705,5462.16
INDIAMART-RAMCOCEM,312.13,0.7506385895482696,0.005889609217894517,5460.56
CUB-RVNL,474.38,0.8814386954602236,0.016098684109834234,5447.11
IOB-JSL,485.52,0.6551358430986465,0.0014524489929156734,5441.32
