symbol_a,symbol_b,net_profit,gross_profit,total_fees,win_rate,trade_count,max_drawdown,exit_reasons
DATAPATTNS,GRSE,26640.873041018745,32862.395550000605,6221.522508981854,0.9270833333333334,96,164.2448790798062,mr
IREDA,RVNL,6523.958983147493,10511.619355000386,3987.660371852896,0.7540983606557377,61,357.76373923838037,mr
JSWSTEEL,TATASTEEL,-2724.0315401063986,-1613.5263149999178,1110.5052251064808,0.17647058823529413,17,2331.420846264477,mr;sl
IRCON,IRFC,-3454.151366181837,-1951.05701999991,1503.0943461819272,0.13043478260869565,23,3173.24976431428,hl;mr
INDIANB,UNIONBANK,-27262.62290737111,-4655.261209998118,22607.361697373,0.2543352601156069,346,27125.650496786828,mr;se;sl
BSE,CDSL,-259.9437039494345,-129.6341999999745,130.30950394946,0.5,2,426.6461370018954,sl
HCLTECH,INFY,-3727.037707540728,16393.769400001587,20120.807107542292,0.42394822006472493,309,4681.758212561069,mr;se
NBCC,RVNL,-16595.107450369556,386.9604100012011,16982.06786037075,0.28076923076923077,260,16931.102906040036,mr;se
COFORGE,PERSISTENT,-209.875660224197,-17.45609999998851,192.41956022420848,0.3333333333333333,3,397.2428907027081,mr;sl
CHENNPETRO,MRPL,-1426.684842511149,-1165.3238699999772,261.360972511172,0.0,4,1284.836370542999,mr;sl
TCS,WIPRO,-1136.9041210625446,20543.539050001767,21680.443171064315,0.4341317365269461,334,1733.8854659320582,mr;se
DLF,PRESTIGE,-15765.756927561824,4419.273050001619,20185.029977563416,0.36129032258064514,310,19141.02895957416,mr;se
NMDC,TATASTEEL,-22850.999867556144,-4819.25934999855,18031.740517557584,0.2246376811594203,276,22645.320523900325,mr;se;sl
CANBK,INDIANB,-17318.324601860204,4901.418930002023,22219.743531862237,0.3029411764705882,340,17472.979341417344,mr;se
INFY,WIPRO,-10871.743255537918,4177.51095000137,15049.254205539277,0.329004329004329,231,10831.961273118684,mr;se;sl
IREDA,NBCC,9685.654523200657,23607.341230001108,13921.686706800454,0.5727699530516432,213,1314.0215026753294,mr;se
ADANIENSOL,ADANIENT,27670.39691282635,59912.10647500265,32241.70956217631,0.6161616161616161,495,1814.5099747249587,mr;se
IREDA,RECLTD,-9327.558475803296,13546.877655001816,22874.436130805105,0.40285714285714286,350,10116.839266739325,mr;se
IRFC,NBCC,1277.4649700580987,10624.585450000817,9347.120479942723,0.5244755244755245,143,2210.8712119634192,mr;se
BANKBARODA,INDIANB,-16253.70745997501,6088.291595001958,22341.999054976957,0.3333333333333333,342,16152.97965213124,mr;se;sl
JINDALSTEL,TATASTEEL,-19185.975520710635,-892.1270349985349,18293.848485712082,0.2392857142857143,280,19251.39364562982,mr;se
BEL,GRSE,-4056.351561668434,-159.35674999966477,3896.99481166877,0.26666666666666666,60,4224.1630391432,mr;se;sl
CANBK,SBIN,458.70427331994995,20795.3014750017,20336.597201681725,0.4519230769230769,312,1797.564693255283,mr;se
HCLTECH,TECHM,-2504.564981934421,15208.758300001442,17713.323281935845,0.5110294117647058,272,3463.6379576589957,mr;se
BDL,COCHINSHIP,-1447.5449196885697,8832.308500000898,10279.85341968947,0.47468354430379744,158,3601.7948652774116,mr;se
INDIANB,PNB,-27750.28501930394,-7949.064349998281,19801.220669305636,0.1485148514851485,303,27872.596679922728,mr;se
GODREJPROP,PRESTIGE,-6459.542718013949,15027.20230000179,21486.74501801575,0.4393939393939394,330,10305.06192445677,mr;se
HINDALCO,VEDL,-8759.654496948126,581.0108400008077,9340.66533694893,0.2867132867132867,143,8687.472916048824,mr;se;sl
IRCON,JWL,10261.15474155195,14510.70727500035,4249.552533448401,0.7384615384615385,65,458.9212279244348,mr;se
DLF,LODHA,-2815.4769743313295,11078.290900001059,13893.767874332394,0.47417840375586856,213,3604.189574675247,mr;se
