symbol_a,symbol_b,pearson_rho,stage1_rank,n_obs,Q_beta,Q_alpha,R,log_likelihood_final,em_iterations,em_converged,beta_mean,alpha_mean,ou_kappa,ou_mu,ou_sigma,half_life_minutes,half_life_hours,ar1_phi,ar1_c,hurst_exponent,spread_mean,spread_std,adf_pvalue,tradeable,skipped
GRSE,HAL,0.4714150431742225,79,27527,1e-07,6.622533849908563e-07,3.0685328598863563e-06,123639.38088208403,50,False,2.7285582750865354,-14.947425420604175,,,,,,,,,,,0.61629667510726,False,False
ABCAPITAL,LTF,0.4705120209065774,80,27527,1e-07,2.602520224112731e-07,3.031224767128671e-07,142094.39067196441,50,False,0.19849628946398862,4.704913235610758,,,,,,,,,,,0.2485802752557173,False,False
RAILTEL,RVNL,0.4699994052765276,81,27527,1e-07,2.1909346322517106e-07,2.903806596514666e-07,141199.3241121368,50,False,0.6470403696759753,2.0500417682684575,,,,,,,,,,,0.5120438574482304,False,False
NATIONALUM,NMDC,0.4691436224178821,82,27527,1e-07,3.1077140763153675e-07,4.4304207147760977e-07,142882.5620515313,50,False,0.9310153202239589,1.7950824483718002,,,,,,,,,,,0.34524754913791733,False,False
DLF,OBEROIRLTY,0.4648631863423103,83,27527,1e-07,2.4628775771958263e-07,3.505266628713368e-07,137548.1633440396,50,False,0.7395884574579892,0.989958286506178,,,,,,,,,,,0.9524471643183542,False,False
GODREJPROP,OBEROIRLTY,0.4640758114186854,84,27527,1e-07,2.717385452527665e-07,4.1800441753982256e-07,136567.16069608345,50,False,0.9708374662917448,0.3340559818017758,,,,,,,,,,,0.6263385429919675,False,False
BSE,MCX,0.463030605662351,85,27527,1e-07,2.7873247347634833e-07,4.4382340780574696e-07,135580.98682094022,50,False,0.4396930960563187,4.515532318178741,,,,,,,,,,,0.3371865341802667,False,False
HCLTECH,WIPRO,0.4627431248243272,86,27527,1e-07,1.481958555427174e-07,1.2796021119294517e-07,145603.80573587582,50,False,0.9138278236481898,2.374770811522942,,,,,,,,,,,0.46515901520078146,False,False
INOXWIND,SUZLON,0.4625751671253411,87,27527,1e-07,2.607797518909335e-07,3.147293152120945e-07,146369.89728077114,50,False,0.81265214726549,1.4862192420274893,,,,,,,,,,,0.7736559400474983,False,False
IRFC,RECLTD,0.4615128760475941,88,27527,1e-07,2.758007717209102e-07,3.411993675657718e-07,140709.73443391852,50,False,1.1018391069030313,-1.7645419988036013,,,,,,,,,,,0.7410572699214143,False,False
IRFC,RAILTEL,0.4613122591566238,89,27527,1e-07,2.8370260744085345e-07,3.667003829029829e-07,141537.77786812867,50,False,0.676599952269703,0.790905912743338,,,,,,,,,,,0.45478739799687734,False,False
MAZDOCK,RVNL,0.4590766839318652,90,27527,1e-07,2.0389210264939013e-07,2.3749100797642304e-07,142008.32747151086,50,False,0.5250044256022152,4.770226191740361,,,,,,,,,,,0.45615578986261635,False,False
INOXWIND,IREDA,0.4576168238007745,91,27527,1e-07,2.712841425833948e-07,3.465949446878942e-07,142960.06170308744,50,False,0.9365555018483056,0.06210576563931353,,,,,,,,,,,0.5727191335227255,False,False
COFORGE,INFY,0.4562941791942968,92,27527,1e-07,2.3653298765880708e-07,3.4031070817248135e-07,137381.50916765918,50,False,0.3685004195840036,4.572735912604632,,,,,,,,,,,0.5079637099760006,False,False
COFORGE,TCS,0.4554210412371164,93,27527,1e-07,2.495243131219305e-07,3.9621574749586835e-07,135526.45716435043,50,False,0.6511892442953258,2.077631748885842,,,,,,,,,,,0.4832278177615187,False,False
TECHM,WIPRO,0.4549057636397376,94,27527,1e-07,1.3466796332306085e-07,1.1557648684903573e-07,146116.92515920041,50,False,0.7203453872359116,3.42781649529084,,,,,,,,,,,0.4507791667185401,False,False
MPHASIS,PERSISTENT,0.4546500005033262,95,27527,1e-07,4.093720709665288e-07,8.859186412708133e-07,131608.73571955904,50,False,-0.26626351652856,10.123645937283047,,,,,,,,,,,0.6651590373961686,False,False
HEROMOTOCO,TVSMOTOR,0.4536269495107646,96,27527,1e-07,2.5635350063002213e-07,3.831365885784286e-07,135441.06378261227,50,False,0.1262244879666528,7.585356980131697,,,,,,,,,,,0.3089348835142192,False,False
COFORGE,TECHM,0.4532038590612501,97,27527,1e-07,2.5896333067761047e-07,3.8841204939258134e-07,136781.94953444146,50,False,0.17116509930599474,6.001818087479042,,,,,,,,,,,0.5422056237798847,False,False
PNB,SBIN,0.4529470429005133,98,27527,1e-07,2.1591086287519344e-07,2.664113675326725e-07,139006.46972770646,50,False,1.200000987089776,-3.5808725095092004,,,,,,,,,,,0.7230795828315769,False,False
BAJAJFINSV,BAJFINANCE,0.4525360244465841,99,27527,1e-07,2.1816134120137196e-07,2.566001123078863e-07,139951.29342726443,50,False,0.9505311653169463,1.0512960852955424,,,,,,,,,,,0.331243597249842,False,False
