pair,ols_net_pnl,ols_trades,ols_win_rate,adf_stat,adf_pval
IREDA-TATAPOWER,3489.6918999999943,15,0.6,-3.3616,0.01234
INFY-MPHASIS,547.5548000000181,17,0.4706,-3.3557,0.012564
MPHASIS-WIPRO,-3046.6151499999996,18,0.3889,-4.445,0.000247
HDFCLIFE-SBILIFE,4237.249975000004,13,0.5385,-3.6869,0.004301
CANBK-PFC,-1575.668134999998,28,0.5,-2.6113,0.090689
HEROMOTOCO-M&M,9239.82975,19,0.8421,-4.5479,0.000161
CAMS-CDSL,-5526.714999999995,26,0.5,-3.3592,0.012429
RITES-RVNL,-1964.3402150000138,18,0.4444,-4.9213,3.2e-05
KAYNES-PGEL,-18719.344699999987,22,0.2727,-2.9366,0.04125
CDSL-RECLTD,-6817.680299999998,22,0.4091,-3.1956,0.02024
BANKINDIA-CENTRALBK,3410.1032049999867,17,0.5294,-2.9378,0.041122
BAJAJ-AUTO-M&M,-3635.322750000001,28,0.4286,-3.4705,0.008779
PERSISTENT-TATAELXSI,-2310.1884500000015,23,0.4348,-3.1751,0.021471
JSWENERGY-TATAPOWER,7583.806100000002,29,0.5862,-3.5156,0.007595
INDIANB-SBIN,2713.163525000011,18,0.5556,-2.7413,0.067154
CDSL-MAZDOCK,-6815.395300000023,16,0.375,-2.8183,0.055706
GAIL-IOC,2370.7642100000066,25,0.6,-2.9815,0.036662
BDL-IRFC,-6096.883650000015,17,0.4118,-3.4992,0.008006
BANKINDIA-RECLTD,-5449.897115000012,12,0.5,-2.5982,0.093378
BHEL-MAZDOCK,-4653.817795000021,24,0.5,-2.395,0.143157
HINDZINC-TATASTEEL,-7286.456724999995,21,0.4762,-3.1953,0.020259
CENTRALBK-MAHABANK,-5868.5884150000065,20,0.5,-2.3245,0.164185
GODREJPROP-NBCC,-6089.243349999992,30,0.5,-2.5475,0.104333
PFC-TATAPOWER,4609.536275,21,0.619,-2.8448,0.052151
M&M-TMPV,269.70005000000674,21,0.5714,-3.2845,0.015587
HUDCO-RVNL,699.0734499999944,21,0.5238,-2.8019,0.058002
CENTRALBK-IOB,-3575.752285000005,23,0.4783,-2.8642,0.049667
PNB-RECLTD,-2355.2984250000036,18,0.4444,-2.943,0.040571
BANKINDIA-MAHABANK,-1285.2399600000317,18,0.5556,-2.9081,0.044418
ABB-SIEMENS,-899.606499999998,16,0.375,-3.6617,0.004686
IRCON-MAZDOCK,-1610.8147350000254,21,0.4762,-3.0059,0.034346
ABCAPITAL-IREDA,-1516.4059999999517,20,0.5,-3.668,0.004587
CDSL-RVNL,-5480.561949999997,26,0.5,-2.6323,0.086506
CANBK-IREDA,-6101.274945000025,26,0.3462,-3.1042,0.026241
HEROMOTOCO-MARUTI,5700.642250000003,13,0.6923,-3.6706,0.004547
NBCC-PFC,6108.19491,23,0.5217,-2.4167,0.137069
CANBK-CENTRALBK,-1151.6299899999922,19,0.4211,-3.4391,0.009695
HCLTECH-MPHASIS,1725.4421499999826,23,0.5217,-2.7445,0.066655
CENTRALBK-PNB,-5561.537644999979,33,0.4242,-1.8439,0.358905
BDL-SUZLON,-1312.660050000004,20,0.4,-2.3703,0.150294
JIOFIN-MAZDOCK,-3386.493165000007,12,0.5,-2.5107,0.112884
LTM-TCS,-5245.108299999989,20,0.3,-3.6464,0.004933
JINDALSTEL-NATIONALUM,-1130.4958000000079,19,0.5263,-2.7418,0.067085
LTM-WIPRO,3780.8363500000196,20,0.55,-3.8357,0.002563
BANKINDIA-IREDA,674.0305799999678,20,0.6,-2.8988,0.045488
HDFCBANK-ICICIBANK,381.598600000003,13,0.5385,-3.7243,0.003784
IRFC-RITES,846.3224199999804,29,0.4828,-4.8248,4.9e-05
INFY-LTM,-3363.0126499999715,17,0.4118,-2.8371,0.053165
BANKBARODA-RECLTD,2271.2256600000037,22,0.4545,-2.7524,0.0654
BEL-BHEL,5437.198900000003,15,0.6,-3.028,0.032365
TATAELXSI-TATATECH,-3764.224200000006,20,0.45,-3.4138,0.010496
NTPC-TATAPOWER,4439.706649999989,19,0.6842,-2.9808,0.036723
BANKINDIA-RBLBANK,-2094.007525,12,0.4167,-3.3106,0.014409
HCLTECH-LTM,-750.0586500000118,28,0.5714,-2.578,0.097623
OFSS-TECHM,-10786.533250000002,21,0.2857,-1.7996,0.380648
RAILTEL-RITES,2648.903350000015,27,0.5556,-6.5896,0.0
JINDALSTEL-SAIL,6383.505400000007,22,0.5455,-3.8318,0.002599
BEML-DATAPATTNS,1699.2608499999933,15,0.5333,-4.0273,0.001274
DLF-IRFC,-7281.13654999999,22,0.3182,-3.6581,0.004742
OFSS-WIPRO,-8244.248,22,0.2273,-1.8964,0.333761
ADANIGREEN-IREDA,-14047.247274999976,20,0.25,-2.5719,0.098953
IREDA-SJVN,485.70088500000566,23,0.3913,-4.2043,0.000648
ETERNAL-SWIGGY,-4506.019539999996,12,0.25,-3.6999,0.004114
DLF-RECLTD,-2245.3149250000097,15,0.4,-2.9975,0.035124
DLF-JIOFIN,-4364.786299999994,22,0.4545,-3.0248,0.032645
INOXWIND-JIOFIN,-12317.742875000016,16,0.1875,-2.6162,0.089687
ADANIENSOL-TATAPOWER,-8857.219424999994,19,0.3684,-3.4262,0.010098
INOXWIND-RECLTD,2512.5333849999897,21,0.5238,-2.5489,0.104034
CENTRALBK-UCOBANK,-2312.3877500000153,23,0.4348,-2.6509,0.082921
GAIL-TATAPOWER,-2024.8624650000056,19,0.5263,-3.024,0.032709
MPHASIS-TATAELXSI,-5754.218800000007,23,0.5217,-4.4323,0.00026
MAZDOCK-ZENTEC,189.28800000001684,20,0.5,-3.6427,0.004996
IRCTC-IREDA,-6139.225550000048,16,0.25,-3.501,0.007962
JIOFIN-SUZLON,1429.0633050000106,21,0.7143,-3.4879,0.008303
BAJFINANCE-CHOLAFIN,-416.0363999999827,22,0.5455,-3.4607,0.009054
TATAELXSI-WIPRO,41.64054999999826,17,0.5294,-3.1589,0.022489
BDL-INOXWIND,-824.2549000000054,14,0.5,-2.8386,0.052975
GODREJPROP-IREDA,-11038.68489999999,20,0.2,-3.0682,0.028999
AMBER-DIXON,-18543.54425,34,0.3235,-1.7407,0.410274
GRSE-RVNL,3133.1106999999975,17,0.5882,-3.58,0.006156
TATAELXSI-TCS,687.2864500000014,13,0.5385,-3.0356,0.031702
ADANIENT-ADANIPOWER,-7337.235200000001,24,0.5,-2.4919,0.117461
COCHINSHIP-NBCC,1259.3842000000404,24,0.4583,-2.7157,0.071364
IREDA-NHPC,3073.0474799999865,18,0.5556,-4.0912,0.001001
HAL-NBCC,1333.183350000012,18,0.5,-3.1049,0.02619
OFSS-TCS,-9318.768249999997,20,0.3,-1.9354,0.315612
ADANIENT-JIOFIN,-8899.972600000014,26,0.2692,-2.1674,0.218283
JIOFIN-PFC,4991.626120000001,21,0.6667,-2.1155,0.238316
IREDA-TITAGARH,3622.346645000025,17,0.8235,-3.1935,0.020364
KPITTECH-MPHASIS,-6103.712474999975,26,0.4615,-4.2663,0.000508
