symbol_a,symbol_b,best_z_entry,best_z_sl,best_hl_stop,gross_profit,trade_count,win_rate,lagger,ou_sigma,ou_mu,exit_mr_count,exit_sl_count,exit_hl_count,exit_session_count,avg_points_profit,avg_points_loss
MPHASIS,TECHM,2.0,0.0,False,6674.300000000001,762,0.9291338582677166,a,0.001385736024053,1.068904511992458e-06,704,0,0,58,9.868079096045204,-5.783333333333345
BEL,DATAPATTNS,2.0,15.0,False,2576.5000000000073,539,0.562152133580705,b,0.0010180425586427,-1.6029292070140138e-06,522,1,0,16,16.867656765676582,-10.738983050847448
HINDZINC,NMDC,2.0,15.5,False,72.12999999999995,657,0.6270928462709284,b,0.0012439352067943,-2.757988536338545e-06,614,1,0,42,0.27196601941747556,-0.16293877551020403
IRFC,JIOFIN,2.0,0.0,False,521.5299999999993,789,0.8732572877059569,b,0.0015610683206526,-8.62985784561781e-07,745,0,0,44,0.8081857764876619,-0.3530999999999986
MAZDOCK,SOLARINDS,2.0,0.0,False,18327.0,838,0.6861575178997613,b,0.0012295573073034,-7.10728277104118e-08,796,0,0,42,48.2,-35.6958174904943
IRCON,NBCC,2.0,0.0,False,404.28999999999974,510,0.9529411764705882,a,0.0012652169412419,1.7493170402930369e-06,499,0,0,11,0.8519135802469128,-0.40583333333333194
BDL,NBCC,2.0,0.0,True,4.669999999999888,433,0.3672055427251732,b,0.0012105090806588,7.510846340362613e-07,261,0,168,4,0.24924528301886684,-0.12759124087591217
MPHASIS,OFSS,15.0,0.0,True,-133.0,4,0.0,b,0.0010976420842539,1.0705775312154774e-06,2,0,2,0,0.0,-33.25
M&M,TVSMOTOR,2.0,0.0,False,3979.5000000000023,383,0.95822454308094,a,0.0007925033174478,1.0904872694398377e-07,375,0,0,8,11.102179836512267,-5.9375
CDSL,JIOFIN,2.0,0.0,False,165.58999999999986,749,0.6048064085447263,b,0.0009668897875887,1.872196687061136e-06,716,0,0,33,0.654657836644591,-0.4424662162162148
JIOFIN,RECLTD,2.0,0.0,False,520.3600000000012,840,0.861904761904762,a,0.0008060275578484,-1.6657709591656703e-06,790,0,0,50,0.7726243093922661,-0.33637931034482765
KPITTECH,TATAELXSI,2.0,0.0,False,1372.5500000000013,365,0.8931506849315068,a,0.0011474216739511,1.2663859079333675e-06,359,0,0,6,4.409202453987734,-1.6628205128205076
PERSISTENT,TCS,2.0,0.0,False,15589.69999999999,675,0.9274074074074075,a,0.0014179779992769,-1.1171869863076446e-06,617,0,0,58,26.154472843450485,-15.979591836734675
INFY,PERSISTENT,2.0,0.0,False,9484.200000000003,699,0.7310443490701002,b,0.0010091577280305,3.826201848546851e-06,644,0,0,55,24.55636007827789,-16.298404255319145
HINDALCO,NMDC,2.0,0.0,False,114.04999999999995,709,0.7404795486600846,b,0.0010858762836722,1.772269015868282e-06,675,0,0,34,0.2783428571428568,-0.17434782608695643
BDL,BEML,2.0,10.5,False,1211.6000000000038,520,0.5980769230769231,b,0.0012819484785152,-5.96722917900158e-08,505,1,0,14,7.094855305466244,-4.760287081339705
EICHERMOT,M&M,2.0,0.0,False,1493.0999999999922,779,0.540436456996149,b,0.0007948430505315,-3.398796219205229e-06,728,0,0,51,9.833966745843219,-7.393854748603357
EICHERMOT,MARUTI,2.0,7.0,False,3199.5,178,0.8146067415730337,a,0.0009133536910657,-2.640020867481609e-07,176,1,0,1,24.127586206896552,-9.06060606060606
DLF,NBCC,2.0,0.0,False,803.9999999999995,348,0.9511494252873564,a,0.0009776843031473,6.005320931777627e-07,341,0,0,7,2.4661631419939565,-0.7235294117647032
CANBK,RECLTD,2.0,16.0,False,173.94999999999962,875,0.6754285714285714,a,0.001149299941389,5.033893614755299e-06,833,4,0,38,0.4446192893401007,-0.3127464788732391
COFORGE,TATAELXSI,10.0,0.0,False,17.0,1,1.0,b,0.00030596610383960534,2.1554163281903417e-07,1,0,0,0,17.0,0.0
INOXWIND,RVNL,2.0,8.5,False,200.88000000000002,470,0.9085106382978724,a,0.0011962299714182,9.072199946192508e-07,463,1,0,6,0.49004683840749436,-0.19465116279069777
ADANIGREEN,TATAPOWER,2.0,3.0,False,46.10000000000008,595,0.5058823529411764,b,0.0011949378133829,8.13398235970816e-07,403,183,0,9,0.6652823920265777,-0.5243197278911558
RECLTD,RVNL,2.0,0.0,False,502.89999999999964,362,0.9668508287292817,a,0.0009043177785344,3.748318867389487e-07,357,0,0,5,1.462142857142856,-0.7375000000000019
IDEA,INDUSTOWER,2.0,0.0,False,9.050000000000018,858,0.4662004662004662,a,0.0023203824053865,-8.019546044221089e-06,810,0,0,48,0.05487500000000017,-0.028165938864628856
HCLTECH,PERSISTENT,2.0,7.0,False,1628.899999999997,694,0.49711815561959655,b,0.0008472411892419,1.1371457888269056e-05,598,56,0,40,20.563768115942032,-15.660744985673364
GRSE,ZENTEC,2.0,11.5,False,3141.5999999999976,699,0.6595135908440629,a,0.0019689237145556,1.060133698463349e-06,648,8,0,43,11.495444685466392,-9.066386554621861
HINDALCO,JSWSTEEL,2.0,15.5,False,1982.3000000000054,823,0.8007290400972054,b,0.0013309206529303,2.2372985211074874e-06,766,5,0,52,3.5787556904400684,-2.2932926829268245
IRFC,JWL,2.5,9.5,False,192.50999999999985,352,0.5113636363636364,b,0.0010038486105231,-6.65753001017022e-07,333,2,0,17,2.3557222222222216,-1.3460465116279077
MPHASIS,TCS,2.0,0.0,False,6647.000000000005,733,0.9236016371077762,a,0.0010651986893743,9.26315016282958e-07,677,0,0,56,10.300000000000008,-5.823214285714308
BDL,IREDA,2.0,13.5,False,98.2300000000004,672,0.6369047619047619,b,0.0012690676329975,-1.696363409729151e-06,638,3,0,31,0.3946028037383182,-0.28959016393442527
NMDC,SAIL,2.0,0.0,False,125.11999999999995,431,0.9164733178654292,a,0.0009781239896638,-1.1444108291485106e-07,423,0,0,8,0.3274683544303795,-0.11749999999999933
INOXWIND,MAZDOCK,2.0,0.0,False,1520.6999999999994,348,0.6063218390804598,b,0.0012310307189799,4.793272952227623e-07,347,0,0,1,10.35260663507108,-4.844525547445244
IREDA,RAILTEL,2.0,0.0,False,134.14000000000007,290,0.8931034482758621,a,0.0010719950337141,1.8176246941952562e-07,286,0,0,4,0.538571428571429,-0.17258064516129243
